"","PMI","P"
"1",20.9424083769633,0.93
"2",59.2592592592593,0
"3",53.1073446327684,0
"4",25.7425742574257,0.67
"5",33.0275229357798,0.81
"6",13.3333333333333,0.69
"7",24.390243902439,0.04
"8",23.7623762376238,0.84
"9",84.6153846153846,0
"10",29.5081967213115,0.17
"11",25.8503401360544,0.56
"12",27.6595744680851,0.23
"13",92.4731182795699,0
"14",31.7460317460317,0.47
"15",0,1
"16",41.0596026490066,0
"17",58.1818181818182,0
"18",44.6280991735537,0
"19",35.1351351351351,0.58
"20",71.4285714285714,0.3
"21",30.0751879699248,0.27
"22",47.0588235294118,0.06
"23",45.3333333333333,0
"24",40,0.16
"25",67.4418604651163,0.07
"26",29.2682926829268,0.48
"27",53.3333333333333,0
"28",79.6238244514107,0
"29",65.1162790697674,0.01
"30",36.734693877551,0.08
"31",63.1578947368421,0
"32",50.7462686567164,0.01
"33",57.7319587628866,0
"34",66.6666666666667,0
"35",34.4322344322344,0
"36",29.2134831460674,0.19
"37",44.8,0
"38",100,0
"39",63.8888888888889,0
"40",25,0.04
